NiMn,Ni,Mn,Sn,Fe,Co,Cu,Al,Numa,anum,Ven,avg Ven,En,Arc,mass,T
Ni45.8Mn38Sn12Fe4.2,45.8,38.0,12.0,4.2,0.0,0.0,0.0,4,29.416,8.056,0.273864563502856,1.77584,1.29784,64.34812,210.5
Ni49Mn37Fe1Sn13,49.0,37.0,13.0,1.0,0.0,0.0,0.0,4,29.73,8.09,0.272115708039018,1.7825,1.3007,65.0767,250.5
Ni43Mn46Sn9Al2,43.0,46.0,9.0,0.0,0.0,0.0,2.0,4,28.3,7.94,0.280565371024735,1.7429,1.2918,61.7326,297.0
Ni47Mn37Fe3Sn13,47.0,37.0,13.0,3.0,0.0,0.0,0.0,4,29.69,8.05,0.271135062310542,1.7809,1.3011,65.0199,173.0
Ni50(Mn0.93Fe0.07)36Sn14,50.0,33.48,14.0,2.52,0.0,0.0,0.0,4,30.0252,8.1052,0.269946578207639,1.794456,1.303748,65.765732,149.5
Ni44Mn45Sn11,44.0,45.0,11.0,0.0,0.0,0.0,0.0,3,29.07,7.99,0.274853801169591,1.7535,1.2953,63.6047,249.0
Ni41Co9Mn41Sn9,41.0,41.0,9.0,0.0,9.0,0.0,0.0,4,28.66,8.14,0.284019539427774,1.7642,1.2874,62.5759,458.5
Ni40Mn50Sn10,40.0,50.0,10.0,0.0,0.0,0.0,0.0,3,28.7,7.9,0.275261324041812,1.735,1.293,62.817,208.5
Ni51Mn34.2Sn14.8,51.0,34.2,14.8,0.0,0.0,0.0,0.0,3,30.23,8.086,0.267482633145882,1.79428,1.3065,66.29046,242.0
Ni50.3Mn35.3Sn14.4,50.3,35.3,14.4,0.0,0.0,0.0,0.0,3,30.109,8.077,0.268258660201269,1.79012,1.30531,66.00913,240.5
Ni51Mn34.5Sn14.5,51.0,34.5,14.5,0.0,0.0,0.0,0.0,3,30.155,8.095,0.2684463604709,1.79305,1.30545,66.09915,265.0
Ni50Mn35Sn15,50.0,35.0,15.0,0.0,0.0,0.0,0.0,3,30.25,8.05,0.266115702479339,1.7915,1.3075,66.3805,196.0
Ni46.6Mn39.4Sn9.9Fe4.0,46.6,39.4,9.9,4.0,0.0,0.0,0.0,4,28.888,8.134,0.281570202160066,1.768,1.289,62.98219,361.5
Ni44Mn40Sn1Co6Cu9,44.0,40.0,1.0,0.0,6.0,9.0,0.0,5,27.05,8.77,0.324214417744917,1.7638,1.26,58.242,315.5
Ni50Mn26Sn14Fe10,50.0,26.0,14.0,10.0,0.0,0.0,0.0,4,30.1,8.18,0.271760797342193,1.8154,1.303,65.8338,97.5
Ni37.5Mn50Co2.5Sn10,37.5,50.0,10.0,0.0,2.5,0.0,0.0,4,28.675,7.875,0.274629468177855,1.73425,1.29325,62.823,96.0
Ni50Mn40Sn10,50.0,40.0,10.0,0.0,0.0,0.0,0.0,3,29.0,8.2,0.282758620689655,1.771,1.29,63.192,449.0
Ni45.2Mn38.6Sn9.9Fe6.3,45.2,38.6,9.9,6.3,0.0,0.0,0.0,4,28.894,8.122,0.281096421402367,1.77095,1.29046,63.00556,315.5
Ni40.5Mn50Sn9.5,40.5,50.0,9.5,0.0,0.0,0.0,0.0,3,28.59,7.93,0.277369709688702,1.73475,1.2911,62.5169,246.5
Ni41Mn49Sn10,41.0,49.0,10.0,0.0,0.0,0.0,0.0,3,28.73,7.93,0.276018099547511,1.7386,1.2927,62.8545,228.0
Ni47.8Mn40.8Sn11.4,47.8,40.8,11.4,0.0,0.0,0.0,0.0,3,29.284,8.092,0.276328370441197,1.76882,1.29556,64.00228,293.0
Ni48Cu2Mn36Sn14,48.0,36.0,14.0,0.0,0.0,2.0,0.0,4,30.02,8.1,0.269820119920053,1.7872,1.3048,65.84,204.5
Ni51Mn35.2Sn13.8,51.0,35.2,13.8,0.0,0.0,0.0,0.0,3,29.98,8.116,0.270713809206137,1.79018,1.303,65.65276,280.0
Ni42Mn39Sn10Co9,42.0,39.0,10.0,0.0,9.0,0.0,0.0,4,28.94,8.14,0.281271596406358,1.7719,1.2906,63.2511,374.75
Ni43Mn46Sn11,43.0,46.0,11.0,0.0,0.0,0.0,0.0,3,29.04,7.96,0.274104683195592,1.7499,1.2956,63.5672,200.5
Ni43.1Cu6.5Mn35.9Sn14.5,43.1,35.9,14.5,0.0,0.0,6.5,0.0,4,30.178,8.118,0.26900391013321,1.78736,1.30847,66.36255,99.0
Ni36.5Mn50Fe4Sn9.5,36.5,50.0,9.5,4.0,0.0,0.0,0.0,4,28.51,7.85,0.275341985268327,1.73155,1.2919,62.4033,112.5
Ni50(Mn0.97Fe0.03)36Sn14,50.0,34.29,14.0,1.08,0.0,0.0,0.0,4,29.8533,8.0467,0.269541390734023,1.780659,1.295891,65.406506,214.0
Ni40Mn42Sn10Co8,40.0,42.0,10.0,0.0,8.0,0.0,0.0,4,28.86,8.06,0.279279279279279,1.7614,1.2914,63.1362,298.0
Ni44Mn40Sn5Co6Cu5,44.0,40.0,5.0,0.0,6.0,5.0,0.0,5,27.89,8.49,0.304410182861241,1.7662,1.2736,60.4484,293.0
Ni41Mn50Sn9,41.0,50.0,9.0,0.0,0.0,0.0,0.0,3,28.48,7.96,0.279494382022472,1.7345,1.2892,62.2168,305.0
Ni51Mn35Sn14,51.0,35.0,14.0,0.0,0.0,0.0,0.0,3,30.03,8.11,0.27006327006327,1.791,1.3037,65.7803,293.0
Ni50Mn34.5Sn15.5,50.0,34.5,15.5,0.0,0.0,0.0,0.0,3,30.375,8.035,0.264526748971193,1.79355,1.30925,66.69935,296.0
Ni42Mn47.5Sn10.5,42.0,47.5,10.5,0.0,0.0,0.0,0.0,3,28.885,7.945,0.275056257573135,1.74425,1.29415,63.21085,203.0
Ni43.8Fe1.35Mn38.15Co6.0Sn10.7,43.8,38.15,10.7,1.35,6.0,0.0,0.0,5,29.1225,8.1265,0.279045411623315,1.77513,1.292975,63.657575,220.0
Ni50Mn37Sn13,50.0,37.0,13.0,0.0,0.0,0.0,0.0,3,29.75,8.11,0.272605042016807,1.7833,1.3005,65.1051,306.5
Ni50Mn45Sn5,50.0,45.0,5.0,0.0,0.0,0.0,0.0,3,27.75,8.35,0.300900900900901,1.7505,1.2725,60.0035,730.5
Ni45Mn44Sn11,45.0,44.0,11.0,0.0,0.0,0.0,0.0,3,29.1,8.02,0.275601374570447,1.7571,1.295,63.6422,277.5
